Ingrediente|Platillos|Categoría|Epoca|Origen|Destino|Estado|Cultura prehispánica|Nota cultural|Cult
ESCABECHE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Técnica de conservación con vinagre; aplicada a carnes y pescados.|
ESCABECHE BLANCO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Versión más clara, sin jitomate; suele ir con pollo o pescado.|
HIGO VERDE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Variedad menos dulce; muchas veces se encurta o cristaliza.|
JAMON|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|En México se adaptó el jamón cocido como base de tortas y desayunos.|
LONGANIZA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Más larga y delgada que el chorizo; con sabor más suave.|
MANTECA DE CERDO|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Usada antes de la llegada del aceite vegetal; esencial en tamales.|
MELAZA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Subproducto de la caña; endulzante popular en pan de feria.|
MUSTE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Vino cocido con especias que dio origen al rompope y al ponche.|
NUEZ DE CASTILLA|1|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Pelarla requiere destreza; ingrediente clave del chile en nogada.|
OBLEA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Llegó con las monjas; se rellena con cajeta o jamoncillo.|
OBLEAS|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Variante crujiente usada en ferias y dulces artesanales.|
PIMENTON|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Polvo rojo de chile seco, usado en embutidos y caldos.|
PUERCO|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Su grasa cambió las salsas indígenas; base del pozole moderno.|
ROMPOPE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Creado por monjas en Puebla; lleva yema, leche y canela.|
SALPICON|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Plato frío con carne deshebrada, cebolla y vinagre; de influencia hispana.|
TERNERA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Carne de res joven, usada en platillos de alta cocina.|
YEMA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Dulce conventual hecho con yema y azúcar; base del rompope.|
HARINA NIXTAMALIZADA|1|Harinas y Masas|México Prehispánico (Antes de 1521)|Estado de México|Estado de México|Estado de México|Mexica|Técnica que asombra aún a científicos por su complejidad nutricional.|
HONGO TECOMATE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Estado de México|Estado de México|Estado de México|Mexica|Hongo que crece sobre el maíz tierno; muy buscado en temporada.|
TEJOCOTE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Estado de México|Estado de México|Estado de México|Mexica|Fruta de invierno; en la Colonia se usaba como medicina para la tos.|
CAFE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Etiopía|Veracruz|Veracruz|Etiopía|Llegó por Cuba; Veracruz y Chiapas son líderes en producción.|
COCADA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Filipinas|Guerrero|Guerrero|Filipinas|Dulce de coco rallado; llegó con la Manila-Acapulco y se adaptó en costas.|
CALDO DE FAISAN|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|En la Colonia era servida solo a virreyes y nobles.|
FAISAN|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|En la Nueva España era símbolo de estatus y refinamiento.|
CHAMPIÑONES|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Francia|CDMX|CDMX|Francia|Cultivados en cuevas desde el siglo XVIII; en México, en San Miguel Topilejo.|
LECHUGA SANGRIA|1|Verduras y Hierbas|México Contemporáneo (1940 - Actualidad)|Francia|CDMX|CDMX|Francia|Su color rojizo proviene de antocianinas, antioxidantes naturales.|
CALDO CORTO|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Fondo rápido para cocción de pescados o mariscos; base de cocina francesa.|
COÑAC|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Destilado de uva usado en flambeados y salsas de alta cocina.|
CREPAS|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Fueron introducidas a México en restaurantes franceses del siglo XX.|
GRENETINA|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|En México se usa para postres coloridos; antes se hacía de huesos hervidos.|
HOJALDRE|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Se volvió popular con el pastel mil hojas y empanadas dulces.|
LECHUGA FRANCESA|1|Verduras y Hierbas|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|"Se cultivó en conventos; su nombre es ""mantecosa"" por la textura suave."|
VINAGRE DE VINO TINTO|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Se obtiene por fermentación; da acidez a salsas y marinados.|
VINAGRETA|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Llegó como técnica básica francesa; hoy se usa en ensaladas populares.|
VINAGRETA BASE|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Mezcla de vinagre y aceite con sal; base de aderezos modernos.|
VINAGRETA DE HIERBAS|1|Verduras y Hierbas|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Aromatizada con perejil, tomillo o albahaca; muy usada en la nouvelle cuisine.|
BIROTE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|Jalisco|Jalisco|Francia|Pan de corteza dura; base de la torta ahogada tapatía.|
CEREZA ROJA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Usada para decorar pasteles desde los años 50; muchas veces es artificial.|
CEREZA VERDE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Menos común, se usa en panadería de feria; color llama la atención.|
CHAMPIÑON|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Se cultiva en cuevas; en México se produce en Tlalpan desde los 60s.|
CIRUELA AMARILLA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|Zacatecas|Zacatecas|Francia|Muy ácida; se hierve en almíbar o se deshidrata.|
CREMA ACIDA|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Se popularizó como acompañante de antojitos y enchiladas.|
HUEVO DE CODORNIZ|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|Querétaro|Querétaro|Francia|Más pequeño y fino que el de gallina; usado en canapés.|
MAJORANA|1|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Hierba aromática poco usada hoy; da un toque floral a guisos.|
MELON VERDE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Menos dulce que el naranja; se consume como fruta fresca o en licuados.|
PAN DULCE|1|Harinas y Masas|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Su estética es mexicana; mezcla bizcochos europeos con colores populares.|
PERDIZ|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Se servía rellena en banquetes virreinales; carne muy fina.|
POLLITO DE LECHE|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|Querétaro|Querétaro|Francia|Cría de pollo muy tierna; se cocina en salsas cremosas.|
TELERA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Pan blanco usado en tortas; más suave que el bolillo.|
VINAGRE DE FRUTAS|1|Frutas|Conquista y Virreinato (1521 – 1821)|Francia|Puebla|Puebla|Francia|Fermentación de frutas como manzana o piña; ideal para aderezos.|
UVA|1|Frutas|Conquista y Virreinato (1521 – 1821)|Georgia|Querétaro|Querétaro|Georgia|Base del vino; en México también va en ensaladas navideñas.|
CAJETA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Guanajuato|Guanajuato|Guanajuato|Mestiza|Se elabora con leche de cabra y se cocina en cazos de cobre.|
CAJETA DE LECHE|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Guanajuato|Guanajuato|Guanajuato|Mestiza|Se cocina con leche de cabra en cazo de cobre; símbolo de Celaya.|
CHILAPITA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Guerrero|Guerrero|Guerrero|Mexica|Tostada pequeña con salsa; típica en fondas rurales.|
JUREL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Guerrero|Guerrero|Guerrero|Mexica|Pescado firme y barato, base de tortas y escabeches costeños.|
PULQUE DE COCO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Guerrero|Guerrero|Guerrero|Náhuatl|No contiene coco real; es un saborizante moderno del tradicional pulque.|
CALDO DE AROMAS|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Guerrero|Guerrero|Guerrero|Contemporánea|Usado por chefs modernos para evocar memoria olfativa en la cocina.|
MOLE DE AROMAS GUERRERENSE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Guerrero|Guerrero|Guerrero|Náhuatl|Versión moderna con clavo, canela y frutas secas.|
MOLE ROSA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Guerrero|Guerrero|Guerrero|Tlaxcalteca|Contiene betabel y pétalos; versión moderna y visualmente llamativa.|
CHILE MANZANO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Mexica|Su forma es redonda y su picor engañosamente suave.|
ESCAMOLES|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Larvas de hormiga consideradas el “caviar mexicano”.|
GUALUMBO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Flor del maguey gigante; solo se cosecha una vez en la vida de la planta.|
GUSANO DE MAGUEY|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Habita dentro del agave; su recolección puede costar hasta 500 pesos por kilo.|
MIEL DE XOCONOSTLE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Xoconostle cocido en miel era ofrenda en altares de muertos.|
MIXIOTE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|La hoja que lo envuelve es del maguey; hoy está protegida por ley.|
PULQUE AVENA|1|Granos y Cereales|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Variante moderna que mezcla tradición con cereal popularizado por la publicidad.|
COLORANTE VEGETAL|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|India|CDMX|CDMX|India|Usado para teñir dulces, panes y tamales; a veces proviene de achiote.|
CURCUMA|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|India|Veracruz|Veracruz|India|"Conocida como el ""azafrán de los pobres"", tiñe de amarillo los guisos."|
MOSTAZA|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|India|Veracruz|Veracruz|India|Llegó vía Filipinas; en México se transformó en condimento industrial.|
BERENJENA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|CDMX|CDMX|India|Su nombre viene del árabe; se cocina asada o en escabeche.|
JENGIBRE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Llegó por el Galeón de Manila; usado en dulces conventuales.|
MANGO|1|Frutas|Conquista y Virreinato (1521 – 1821)|India|Chiapas|Chiapas|India|Fruta tropical traída por filipinos; ahora es esencial en dulces y salsas.|
PEPINO|1|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Traído por el Galeón; se come con chile y sal como botana fresca.|
PIMIENTA NEGRA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Fue moneda de cambio en Europa; da picor sin chile.|
AVENA|1|Granos y Cereales|Conquista y Virreinato (1521 – 1821)|Inglaterra|Puebla|Puebla|Inglaterra|Se introdujo como alimento nutritivo y rápido en el siglo XX.|
AGUA DE ROSAS|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Irán|Puebla|Puebla|Irán|En la Colonia se usaba en dulces, nieves y como perfume.|
ALMENDRAS|1|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|Irán|Zacatecas|Zacatecas|Irán|Se usaban en dulces conventuales como mazapanes y nogada.|
CEBOLLA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.|
MELON|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Irán|Durango|Durango|Irán|Fruta de verano que se sirve con sal o chile; se cultiva en el norte.|
PETALOS DE ROSA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usan en postres coloniales y aguas aromáticas.|
JITOMATE CHERRY|1|Verduras y Hierbas|México Contemporáneo (1940 - Actualidad)|Italia|CDMX|CDMX|Italia|Cruz europeo del jitomate americano; hoy usado en ensaladas y pizzas.|
ARUGULA|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Italia|CDMX|CDMX|Italia|Su sabor picante recuerda al rábano; antes se consideraba planta afrodisíaca.|
ESPAGUETI|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Italia|CDMX|CDMX|Italia|Llegó por migrantes italianos; se mexicanizó con crema y chipotle.|
QUESO PARMESANO|1|Lácteos y Huevos|Influencia europea / Porfiriato (1821 - 1910)|Italia|CDMX|CDMX|Italia|Originalmente se envejece 2 años; en México se ralla sobre sopas y pastas.|
CHICHAROS|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|También llamados arvejas; en Navidad se cocinan con jamón.|
UVA VERDE|1|Frutas|Conquista y Virreinato (1521 – 1821)|Italia|Aguascalientes|Aguascalientes|Italia|Más ácida que la morada; se cultiva para mesa y vino.|
SANGRITA|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Jalisco|Jalisco|Jalisco|Meztiza|Nació en Guadalajara para acompañar tequila sin limón ni sal.|
MEDULA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Jalisco|Jalisco|Jalisco|Mestiza|Parte interna de huesos de res; se sirve en tacos o con tuétano.|
QUESO ADOBERA|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Jalisco|Jalisco|Jalisco|Mestiza|Suave y fundente; se usa en tortas ahogadas y quesadillas.|
ABULON|1|Carnes y Mariscos|México Contemporáneo (1940 - Actualidad)|Japón|Baja California|Baja California|Japón|Molusco caro que se cultiva en Ensenada; llegó por inmigración japonesa.|
VINAGRE DE ARROZ|1|Granos y Cereales|México Contemporáneo (1940 - Actualidad)|Japón|Baja California|Baja California|Japón|Llegó con técnicas de sushi; se usa para arroz avinagrado y encurtidos.|
CALAMAR|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Japón|Baja California|Baja California|Japón|Se introdujo en sushi y ceviches modernos del Pacífico mexicano.|
JOCOQUE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Líbano|Oaxaca|Oaxaca|Líbano|Derivado lácteo fermentado; muy común en comunidades árabes del sur.|
AGUA DE AZAHAR|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Marruecos|Puebla|Puebla|Marruecos|Usada en pan de muerto y roscas; tiene uso medicinal.|
AZAHAR|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Marruecos|Puebla|Puebla|Marruecos|Se usa en rosca de reyes y pan de muerto por su aroma floral.|
CHARAL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Michoacán|Michoacán|Michoacán|Purépecha|Pez de lago que se seca al sol y se come frito o en taco.|
CORUNDA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Michoacán|Michoacán|Michoacán|Purépecha|Tamal triangular sin relleno; se acompaña con crema y queso.|
MAIZ SENERI|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Michoacán|Michoacán|Michoacán|Purépecha|Maíz ancestral de grano grande y rojo; aún se cultiva en terrazas.|
TRUCHA|1|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Michoacán|Michoacán|Michoacán|Purépecha|Criada en ríos fríos; en Pátzcuaro se prepara con almendra.|
CHILACAYOTE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|Fruta que se convierte en dulce cristalizado; su semilla también se tuesta.|
COLORIN|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|Flor venenosa si no se hierve bien; se sirve en tortitas.|
FRUTA|1|Frutas|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|En mercados mexicas se vendían frutas organizadas por color y tamaño como ofrenda estética.|
QUINTONIL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|Se recolecta en baldíos; rica fuente de hierro y proteína vegetal.|
CHILE CORA|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Nayarit|Nayarit|Nayarit|Cora|Se cultiva en terrazas; muy usado en la cocina ritual.|
BACALAO|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Noruega|Puebla|Puebla|Noruega|Se salaba para conservar; llegó por conventos y se popularizó en Navidad.|
CALABAZA CRIOLLA|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|De esta calabaza se aprovecha todo: flor, pulpa, cáscara y semilla.|
CENIZA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Se usa para cocer tamales y nixtamal; cambia el color del maíz.|
CHAPULIN|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Su consumo salvó cultivos durante plagas al convertirlo en proteína.|
CHEPICHE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Su sabor mezcla menta, cilantro y ruda; muy aromático.|
CHEPIL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Da sabor a tamales y arroces; considerado un quelite fino.|
CHILE ROJO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Nombre genérico de los chiles secos más usados en salsas.|
CHINTEXTLE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Pasta de chile y ajo en manteca; se guarda en penca.|
CHOCHOYOTE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Bolita de masa con hoyito, símbolo de abundancia.|
COYUL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Fruto del trópico seco; se cuece en miel para postre.|
FRIJOLON|1|Leguminosas, Semillas y Nueces|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Variedad grande y clara; muy usado en caldos campesinos.|
MASA DE TAMALES|1|Harinas y Masas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|La consistencia ideal es considerada herencia culinaria transmitida por abuelas.|
OSTION HUARACHE|1|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Se sirve sobre una tostada grande; nombre local del Istmo.|
PITAYA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Cactus que da fruta rosa fluorescente; rica en antioxidantes.|
TOTOPO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Se inventó para prolongar la vida útil de la tortilla y evitar su desperdicio.|
ZAPOTE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|"Su nombre viene del náhuatl ""tzapotl""; hay más de 10 variedades."|
MOLE VERDE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Lleva hierbas frescas, pepitas y chiles suaves; más ligero.|
QUESO OAXACA|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|También llamado quesillo; se elabora hilando la leche cuajada.|
VINAGRE DE PIÑA|1|Frutas|Conquista y Virreinato (1521 – 1821)|Oaxaca|Oaxaca|Oaxaca|Meztiza|Se elabora caseramente con cáscaras; usado en escabeches.|
QUESO HOLANDES|1|Lácteos y Huevos|Influencia europea / Porfiriato (1821 - 1910)|Países Bajos|CDMX|CDMX|Países Bajos|En México se adaptó en tortas y guisos; textura firme y sabor suave.|
AGUARDIENTE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Portugal|Oaxaca|Oaxaca|Portugal|Se destilaba de caña antes del mezcal; tradición rural aún viva.|
CALDO DE FRIJOL|1|Leguminosas, Semillas y Nueces|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|En algunas comunidades aún se sirve con epazote y bolitas de masa.|
CHALUPA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Nació como antojito colonial en ferias religiosas.|
CHALUPITA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Variante mini, típica del centro histórico de Puebla.|
CHIA|1|Leguminosas, Semillas y Nueces|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Se usaba como tributo; también como aceite ritual.|
CHILE BLANCO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Raro y suave; se rellena con carne o se hace en crema.|
CHILE CRIOLLO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Ancestro de muchas variedades modernas; se cultiva en huertos.|
CHILE NEGRO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|También llamado mulato; base del mole poblano.|
HIERBAS SECAS|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Mezcla variable; muchas hierbas antiguas eran consideradas sagradas.|
MILTOMATE|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Tomatillo pequeño de sabor ácido; muy usado en salsas frescas.|
PAPALOQUELITE|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Tiene sabor entre cilantro y ruda; se le atribuyen propiedades digestivas.|
PAVO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Domesticado en Mesoamérica; fue el platillo central del primer Día de Gracias.|
PERONES|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Manzana mexicana que aparece en el chile en nogada.|
SALSA DE TOMATE CRUDA|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Solo jitomate, chile y sal molidos en molcajete; base ancestral.|
SALSA PARA ENCHILADAS|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Náhuatl|Hay versiones rojas, verdes y amarillas; cada familia tiene su receta.|
SALSA VERDE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Base de tomatillo, chile y ajo; siempre cruda o hervida, nunca frita.|
TOMATILLO SILVESTRE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Pequeño, de sabor fuerte; aún se recolecta en bosques.|
CALDO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Base líquida tradicional hecha con huesos, hierbas y paciencia.|
CALDO DE CERDO Y POLLO|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Se mezcla en pozoles y tamales; combinación casera muy común.|
CHILE EN ESCABECHE|1|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Se curtía para conservar; hoy es acompañamiento de tortas.|
MOLE|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Platillo complejo con decenas de ingredientes; símbolo de identidad nacional.|
MOLE DE NOVIA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Se sirve en bodas tradicionales; es dulce, suave y perfumado.|
